id,slug,question,category,resolved_outcome,volume,end_date,closed_time,condition_id,url
2045789,ethereum-above-2275-on-april-21-2026-3pm-et,"Ethereum above 2,275 on April 21, 3PM ET?",,Yes,99.99999999999999,2026-04-21T19:00:00Z,2026-04-21 21:06:26+00,0x9634720e2a79a983d1770a529475a712b440021fe3aa61fc3c4491e69ef0f120,https://polymarket.com/market/ethereum-above-2275-on-april-21-2026-3pm-et
613101,btc-multistrike-4h-1758873600-110k,"Will the price of Bitcoin be above $110,000 on September 26 at 4AM ET?",,No,99.9998,2025-09-26T08:00:00Z,2025-09-26 10:09:27+00,0xee5a7f44c8096918177d196f28075a3e1a725b3b0c03a112084bb28aa3c9a3c2,https://polymarket.com/market/btc-multistrike-4h-1758873600-110k
1744849,ethereum-above-1910-on-march-27-2026-3pm-et,"Ethereum above 1,910 on March 27, 3PM ET?",,Yes,999.99,2026-03-27T19:00:00Z,2026-03-27 22:06:07+00,0x2424351d4dc409a440aa3a1b7f392a7cfbff44e83b16c69c23602a79dd8d6184,https://polymarket.com/market/ethereum-above-1910-on-march-27-2026-3pm-et
1754475,bitcoin-above-64400-on-march-28-2026-3am-et,"Bitcoin above 64,400 on March 28, 3AM ET?",,Yes,999.99,2026-03-28T07:00:00Z,2026-03-28 09:09:45+00,0x15c3819a9be7a511fcc9165eb2c204024353f0fd9edf3c79a54e44a398a69b53,https://polymarket.com/market/bitcoin-above-64400-on-march-28-2026-3am-et
600765,sol-multistrike-4h-1758067200-242,Will the price of Solana be above $242 on September 16 at 8PM ET?,,No,99.999,2025-09-17T00:00:00Z,2025-09-17 02:12:56+00,0xc0675f372e4e2ee76636c68c127e826ab4957928c05096c571b9632539cd02a9,https://polymarket.com/market/sol-multistrike-4h-1758067200-242
1345824,bitcoin-above-72k-on-february-13,"Will the price of Bitcoin be above $72,000 on February 13?",,No,999989.655509,2026-02-13T17:00:00Z,2026-02-13 19:40:21+00,0x58c931c00e31fd20d02aade0c1e287e46a15b6da514c3ac3624e956e41bc45d0,https://polymarket.com/market/bitcoin-above-72k-on-february-13
644542,ucol-ucr-noa-2025-10-23-ucr,Will Universitatea Craiova CS win on 2025-10-23?,,No,9999.872194,2025-10-23T19:00:00Z,2025-10-24 01:25:07+00,0x47ca4c9ce1af718d91d9a74a98d470158a2c6d6ac16c503a3bfde6f19c172fed,https://polymarket.com/market/ucol-ucr-noa-2025-10-23-ucr
1668690,will-xrp-dip-to-1pt2-on-march-21,Will XRP dip to $1.20 on March 21?,,No,999.9859999999999,2026-03-22T04:00:00Z,2026-03-22 06:19:53+00,0xc0cd1b94a08bf1477dc52c2e028e0d408181865f6b4ac388e4602d29feffc001,https://polymarket.com/market/will-xrp-dip-to-1pt2-on-march-21
626287,will-gabriel-bortoleto-win-the-2025-f1-united-states-grand-prix-pole,Will Gabriel Bortoleto win the 2025 F1 United States Grand Prix pole?,,No,999.9835,2025-10-19T00:00:00Z,2025-10-19 03:31:33+00,0x922e3703ad7c0398358e4b6cb9624c56a01269e00c1a76becb907a3faad2bbf8,https://polymarket.com/market/will-gabriel-bortoleto-win-the-2025-f1-united-states-grand-prix-pole
504043,will-biden-say-old-during-drop-out-speech,"Will Biden say ""Old"" during drop out speech?",,No,9999.83,2024-07-24T12:00:00Z,2024-07-25 04:43:25+00,0x4ac7d92ca529ed63b1a3f4e502c4a1da24a6f60f9f4483a16c3f85246214ed7b,https://polymarket.com/market/will-biden-say-old-during-drop-out-speech
1321984,will-trump-say-sleazebag-by-february-28,Will Trump say “Sleazebag” by February 28?,,Yes,9999.803406,2026-02-28T00:00:00Z,2026-02-04 09:23:02+00,0xdccf0378bda7224b954559e1ace6d2908d1c134104164114853eb74d5df3029d,https://polymarket.com/market/will-trump-say-sleazebag-by-february-28
2110605,bitcoin-above-74800-on-april-28-2026-7pm-et,"Bitcoin above 74,800 on April 28, 7PM ET?",,Yes,999.98,2026-04-28T23:00:00Z,2026-04-29 00:59:10+00,0x84a708b183d72eea0efdd742cf6a952d895739b768a72049e1d2db23895b5fa4,https://polymarket.com/market/bitcoin-above-74800-on-april-28-2026-7pm-et
1746542,bitcoin-above-64000-on-march-27-2026-5pm-et,"Bitcoin above 64,000 on March 27, 5PM ET?",,Yes,999.979,2026-03-27T21:00:00Z,2026-03-28 00:29:43+00,0xaeec0c2a6e21a1e01e1863cfb187c21e4b0a4e4fdf088f208105ae8028ac24ac,https://polymarket.com/market/bitcoin-above-64000-on-march-27-2026-5pm-et
593622,eth-multistrike-4h-1757606400-4475,"Will the price of Ethereum be above $4,475 on September 11 at 12PM ET?",,No,9999.753845,2025-09-11T16:00:00Z,2025-09-11 18:15:05+00,0x9d56d5c861cc1c3f3cee73437978f538d92251fb89cc5c828066271c47a18616,https://polymarket.com/market/eth-multistrike-4h-1757606400-4475
1369878,elon-musk-of-tweets-february-14-february-16-90-114,"Will Elon Musk post 90-114 tweets from February 14 to February 16, 2026?",,No,999970.610198,2026-02-16T17:00:00Z,2026-02-20 02:01:32+00,0xbc8d0415c38d2f8ac1ec5fa568015534999b79353aa21ff6ababba7e563647e7,https://polymarket.com/market/elon-musk-of-tweets-february-14-february-16-90-114
1916612,nba-okc-lac-2026-04-08-assists-jalen-williams-4pt5,Jalen Williams: Assists O/U 4.5,,Yes,999.970598,2026-04-09T02:00:00Z,2026-04-09 05:41:55+00,0x409f7c8639db995de01014158b6902475fc45eda44fdd838d10358134adcdb4d,https://polymarket.com/market/nba-okc-lac-2026-04-08-assists-jalen-williams-4pt5
1747818,bitcoin-above-64000-on-march-27-2026-7pm-et,"Bitcoin above 64,000 on March 27, 7PM ET?",,Yes,999.9590000000001,2026-03-27T23:00:00Z,2026-03-28 02:10:17+00,0x33aa95bb3ead0cb8d75fa5593fa7e3092ba1ff60884cdfbc80ebd0a487d7e306,https://polymarket.com/market/bitcoin-above-64000-on-march-27-2026-7pm-et
1459196,fl1-ren-tou-2026-02-28-ags-henrick-do-marcolino,Henrick Do Marcolino: Anytime Goalscorer,,No,9.999575,2026-02-28T16:00:00Z,2026-02-28 22:55:21+00,0x65dd46dd58fd6f329f11876df116c7e3c01b347603b306c43521209a20480dd1,https://polymarket.com/market/fl1-ren-tou-2026-02-28-ags-henrick-do-marcolino
1427388,highest-temperature-in-london-on-february-25-2026-18c,Will the highest temperature in London be 18°C on February 25?,,No,99995.334101,2026-02-25T12:00:00Z,2026-02-25 17:08:38+00,0x4f2e29a96f68d743a0c8137967a7db5f78d5f2342f9304c631c6ed50092fc932,https://polymarket.com/market/highest-temperature-in-london-on-february-25-2026-18c
2012116,ethereum-above-2440-on-april-18-2026-4am-et,"Ethereum above 2,440 on April 18, 4AM ET?",,No,99.99510000000001,2026-04-18T08:00:00Z,2026-04-18 10:13:42+00,0xc72d06adcacd4153ec78b4435d21ad2de5f25e59dd03167516523ab8d0394f78,https://polymarket.com/market/ethereum-above-2440-on-april-18-2026-4am-et
680539,will-trump-say-two-weeks-first-during-saudi-pm-events-on-november-18,"Will Trump say ""Two Weeks"" first during Saudi PM events on November 18?",,Yes,9999.505189,2025-11-18T00:00:00Z,2025-11-19 06:09:15+00,0xeb33df1334122ae60e1c3c3a7eb9420a7a12e3391523ce7dcd6e20a0d015e3f9,https://polymarket.com/market/will-trump-say-two-weeks-first-during-saudi-pm-events-on-november-18
2110620,ethereum-above-2320-on-april-28-2026-7pm-et,"Ethereum above 2,320 on April 28, 7PM ET?",,No,999.9490000000001,2026-04-28T23:00:00Z,2026-04-29 01:00:14+00,0xcd96ef2c9038d3d63b2a22fefd79afd285cc3cd5c1a9383b7f5b24a987c84bfa,https://polymarket.com/market/ethereum-above-2320-on-april-28-2026-7pm-et
2125045,nba-cle-tor-2026-05-01-assists-jakobe-walter-0pt5,Ja'Kobe Walter: Assists O/U 0.5,,No,99.9949,2026-05-01T04:00:00Z,2026-05-02 05:24:34+00,0x07dd83c7ab7b79bed1865aa782a8e80e6a3f2424f234dfd99be5344ffff4be1a,https://polymarket.com/market/nba-cle-tor-2026-05-01-assists-jakobe-walter-0pt5
2115597,nba-bos-phi-2026-04-30-points-neemias-queta-2pt5,Neemias Queta: Points O/U 2.5,,Yes,99.9949,2026-04-30T04:00:00Z,2026-05-01 03:29:34+00,0xeb1175fd2b514798e771bbc39ade4787ec7a3b5eeef08662dc65e55e24832c4f,https://polymarket.com/market/nba-bos-phi-2026-04-30-points-neemias-queta-2pt5
248101,world-cup-2022-thursday-will-brazil-beat-serbia,World Cup: Thursday - Will Brazil beat Serbia?,,Yes,9999.48,2022-11-24T00:00:00Z,2022-11-25 00:15:22+00,0x166d9245d328fecb77d7af8e1c5f24e0a2ba6afc36a83e022a5424cc650b91ff,https://polymarket.com/market/world-cup-2022-thursday-will-brazil-beat-serbia
2058271,bitcoin-above-77000-on-april-23-2026-4am-et,"Bitcoin above 77,000 on April 23, 4AM ET?",,Yes,99.9946,2026-04-23T08:00:00Z,2026-04-23 09:29:42+00,0xe4205bdfa3f300e2284ae1a24c61d95ee5f495e7181bccd8d3b69e0534a915b4,https://polymarket.com/market/bitcoin-above-77000-on-april-23-2026-4am-et
544972,will-esteban-ocon-win-the-2025-italy-gp-pole,Will Esteban Ocon win the 2025 Italy GP pole?,,No,999.940144,2025-05-18T12:00:00Z,2025-05-18 17:19:40+00,0x4bb1b4ec10513bc045a1a000d7ddcdf95310162c9cb926f39278cfb17c9caa9f,https://polymarket.com/market/will-esteban-ocon-win-the-2025-italy-gp-pole
537914,will-trump-pardon-joe-exotic-the-tiger-king-in-2025-784-928-365,"Will Trump pardon Joe Exotic ""The Tiger King"" in 2025?",,No,99993.937724,2025-12-31T12:00:00Z,2026-01-01 07:21:33+00,0x6c4d221b3cf2c8d17467c70a8aa3c714e30299b6e57cd3e4269dc8a41d2b0cd8,https://polymarket.com/market/will-trump-pardon-joe-exotic-the-tiger-king-in-2025-784-928-365
1730661,lol-bro1-nsea-2026-03-30-game3-any-player-penta-kill,Game 3: Any Player Penta Kill?,,No,9.99935,2026-03-30T15:10:00Z,2026-03-30 20:55:33+00,0x6fa3a18ba611321e0f936cfd770536e80a9ae55d32e994769b7c724f70fcebfc,https://polymarket.com/market/lol-bro1-nsea-2026-03-30-game3-any-player-penta-kill
1730659,lol-bro1-nsea-2026-03-30-game3-both-teams-destroy-inhibitors,Game 3: Both Teams Destroy Inhibitors?,,No,9.99935,2026-03-30T15:10:00Z,2026-03-30 20:56:31+00,0xef3f59e1d8b3c9537b96142d35a174cd8ff214fea34a75ffa1f56a812820a3b9,https://polymarket.com/market/lol-bro1-nsea-2026-03-30-game3-both-teams-destroy-inhibitors
